Book,Author,Achievement,Active Dates,Source,Link,Cover,Season
What We Fed to the Manticore,Talia Lakshmi Kolluri,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/60528666,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1648584183i/60528666.jpg,Fall 2025
When the Reckoning Comes,LaTanya McQueen,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/55425310,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1610055983i/55425310.jpg,Fall 2025
What Are You Going Through,Sigrid Nunez,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/51152434,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1585361945i/51152434.jpg,Fall 2025
"Sisters of the Vast Black (Our Lady of Endless Worlds, …",Lina Rather,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/44581558,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1558536373i/44581558.jpg,Fall 2025
On Earth We're Briefly Gorgeous,Ocean Vuong,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/41880609,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1615580168i/41880609.jpg,Fall 2025
The Only Harmless Great Thing,Brooke Bolander,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/34659272,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1518069202i/34659272.jpg,Fall 2025
But Not Too Bold,Hache Pueyo,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/211004133,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1716245696i/211004133.jpg,Fall 2025
"Annihilation (Southern Reach, #1)",Jeff VanderMeer,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/17934530,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1403941587i/17934530.jpg,Fall 2025
What Does It Feel Like?,Sophie Kinsella,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/214312329,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1719026370i/214312329.jpg,Fall 2025
"God Bless You, Otis Spunkmeyer",Joseph Earl Thomas,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/202220516,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1700108683i/202220516.jpg,Fall 2025
